CE_ID,PA,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,race,capital-gain,capital-loss,hours-per-week,Output,Decision
1,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,(null),3,97,28,0.705990,POSITIVE
1,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,(null),3,97,28,-0.000175,NEGATIVE
2,0,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,29,-0.073275,NEGATIVE
2,1,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,29,0.303601,POSITIVE
3,0,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,19,-0.050228,NEGATIVE
3,1,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,19,0.282101,POSITIVE
4,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,(null),8,97,7,-0.099058,NEGATIVE
4,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,(null),8,97,7,0.279516,POSITIVE
5,0,95,Local-gov,8,Assoc-acdm,5,Bachelors,Prof-specialty,Husband,Female,(null),2,95,5,-0.013350,NEGATIVE
5,1,95,Local-gov,8,Assoc-acdm,5,Bachelors,Prof-specialty,Husband,Male,(null),2,95,5,0.359578,POSITIVE
6,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,(null),3,85,18,0.884410,POSITIVE
6,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,(null),3,85,18,-0.014838,NEGATIVE
7,0,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,8,-0.070558,NEGATIVE
7,1,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,8,0.260892,POSITIVE
8,0,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,(null),3,97,18,-0.088191,NEGATIVE
8,1,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,(null),3,97,18,0.289667,POSITIVE
9,0,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,(null),2,96,6,-0.109271,NEGATIVE
9,1,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,(null),2,96,6,0.269975,POSITIVE
10,0,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,19,-0.093925,NEGATIVE
10,1,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,19,0.284310,POSITIVE
11,0,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,(null),3,85,7,-0.111424,NEGATIVE
11,1,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,(null),3,85,7,0.267964,POSITIVE
12,0,87,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,19,2.931622,POSITIVE
12,1,87,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,19,-0.139411,NEGATIVE
13,0,84,Federal-gov,7,HS-grad,5,(null),Prof-specialty,Husband,Female,(null),2,94,5,-0.067839,NEGATIVE
13,1,84,Federal-gov,7,HS-grad,5,(null),Prof-specialty,Husband,Male,(null),2,94,5,0.280737,POSITIVE
14,0,87,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,8,2.931622,POSITIVE
14,1,87,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,8,-0.159740,NEGATIVE
15,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,19,-0.048169,NEGATIVE
15,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,19,0.295522,POSITIVE
16,0,86,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,(null),3,97,7,-0.100947,NEGATIVE
16,1,86,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,(null),3,97,7,0.277751,POSITIVE
17,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,8,-0.068498,NEGATIVE
17,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,8,0.274312,POSITIVE
18,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,(null),3,72,7,1.876763,POSITIVE
18,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,(null),3,72,7,-0.020944,NEGATIVE
19,0,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,73,8,-0.098195,NEGATIVE
19,1,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,73,8,0.274514,POSITIVE
20,0,99,State-gov,11,1st-4th,5,11th,Prof-specialty,Not-in-family,Female,Black,13,97,28,-0.026529,NEGATIVE
20,1,99,State-gov,11,1st-4th,5,11th,Prof-specialty,Not-in-family,Male,Black,13,97,28,0.176522,POSITIVE
21,0,90,Private,0,Some-college,4,Married-civ-spouse,Prof-specialty,Wife,Female,Black,10,89,21,-0.288467,NEGATIVE
21,1,90,Private,0,Some-college,4,Married-civ-spouse,Prof-specialty,Wife,Male,Black,10,89,21,0.087945,POSITIVE
22,0,97,Self-emp-inc,4,11th,4,Widowed,Prof-specialty,Own-child,Female,Black,11,79,33,2.951843,POSITIVE
22,1,97,Self-emp-inc,4,11th,4,Widowed,Prof-specialty,Own-child,Male,Black,11,79,33,-0.055109,NEGATIVE
23,0,96,Local-gov,10,HS-grad,5,Some-college,Prof-specialty,Not-in-family,Female,Black,17,84,27,2.987529,POSITIVE
23,1,96,Local-gov,10,HS-grad,5,Some-college,Prof-specialty,Not-in-family,Male,Black,17,84,27,-0.114316,NEGATIVE
24,0,93,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Female,Black,11,80,24,1.989322,POSITIVE
24,1,93,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Male,Black,11,80,24,-0.093092,NEGATIVE
25,0,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,Black,17,96,37,-0.028122,NEGATIVE
25,1,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,Black,17,96,37,0.300015,POSITIVE
